district,date,cases,disease,rainfall_mm,temperature_c
Balaka,2024-01-01,212,Malaria,44.046489896933885,23.064859687752172
Balaka,2024-01-08,183,Malaria,77.0655060257636,28.584974576365376
Balaka,2024-01-15,188,Malaria,241.56666483112295,34.494519201718234
Balaka,2024-01-22,918,Malaria,128.54066808040037,29.205881064574513
Balaka,2024-01-29,153,Malaria,106.88570035334064,28.541356077432894
Balaka,2024-02-05,1399,Malaria,160.64039258295253,32.087535148564555
Balaka,2024-02-12,1378,Malaria,162.85063624628893,24.798255418581473
Balaka,2024-02-19,847,Malaria,241.22029964448552,34.909899315592895
Balaka,2024-02-26,235,Malaria,120.19700217799756,24.957137841891228
Balaka,2024-03-04,767,Malaria,27.29787662138322,27.238461832302264
Balaka,2024-03-11,662,Malaria,182.29865251756308,15.059005645726542
Balaka,2024-03-18,513,Malaria,1.890332107328252,25.496738624641118
Balaka,2024-03-25,906,Malaria,132.44584962926336,31.35087667639119
Balaka,2024-04-01,1458,Malaria,51.72952110972873,30.767979679210015
Balaka,2024-04-08,786,Malaria,23.778850713182752,22.557419914267914
Balaka,2024-04-15,1050,Malaria,211.05384315728534,26.338875227237644
Balaka,2024-04-22,474,Malaria,57.81938267110245,32.84988498588814
Balaka,2024-04-29,1161,Malaria,208.75383191384176,22.823236366607418
Balaka,2024-05-06,969,Malaria,241.55315851374772,18.773331884088712
Balaka,2024-05-13,1147,Malaria,124.04035573134297,34.575564837702665
Balaka,2024-05-20,675,Malaria,6.113805631655062,30.305867764865138
Balaka,2024-05-27,1289,Malaria,227.41539723970723,20.270378750579642
Balaka,2024-06-03,316,Malaria,225.13356530147828,19.473329270514554
Balaka,2024-06-10,444,Malaria,214.35686277494133,33.244134132139536
Balaka,2024-06-17,104,Malaria,237.96810529379792,22.174248827845126
Balaka,2024-06-24,264,Malaria,58.22242509016121,15.487664863825296
Balaka,2024-07-01,472,Malaria,176.79863524140677,25.663780460283725
Balaka,2024-07-08,1166,Malaria,79.44448237227012,21.20981963420546
Balaka,2024-07-15,798,Malaria,61.95168563840694,25.454055390664216
Balaka,2024-07-22,643,Malaria,248.38068093034357,25.453339437286083
Balaka,2024-07-29,876,Malaria,180.51385658082455,17.599366587151888
Balaka,2024-08-05,309,Malaria,46.56527163665711,28.727791441780113
Balaka,2024-08-12,1124,Malaria,112.29590072649873,28.590522405024764
Balaka,2024-08-19,789,Malaria,61.386536146926076,32.319306314980906
Balaka,2024-08-26,816,Malaria,225.05766439507315,18.49251272666327
